    MJD       Ra_deg  Dec_deg  Unc_deg  log10(Ereco)
56992.825736   75.84     7.87     1.14     3.48
56994.792450   74.93     5.50     1.42     3.20
57000.893230   79.45     3.97     0.46     3.18
57002.599374   80.15     6.28     0.41     3.01
57003.086921   75.75     3.39     0.21     3.09
57009.530176   77.28     5.54     0.39     3.91
57014.191042   77.49     5.79     1.65     3.79
57014.348335   77.52     7.79     1.04     2.85
57024.297888   77.84     3.36     0.86     2.09
57031.469072   77.23     4.20     0.58     3.41
57031.528122   76.28     5.45     2.24     3.26
57031.822474   77.60     4.51     0.79     2.96
57036.804601   75.69     5.99     0.28     3.17
57049.084084   77.79     4.22     0.36     2.88
57050.335154   78.64     7.82     0.55     2.93
57050.943345   75.84     3.85     1.11     2.91
57051.385858   78.92     7.49     0.63     2.62
57052.403637   77.97     8.03     1.33     3.11
57055.662958   78.64     7.02     0.57     3.30
57067.062361   78.27     6.86     1.20     2.85
57070.648200   75.93     4.17     0.72     3.24
57072.208882   77.03     5.15     1.05     3.43
57072.989498   76.45     5.44     1.09     4.18
57075.606089   78.64     5.77     0.57     2.60
57079.447279   75.71     7.23     0.76     2.72
57082.480498   75.33     4.32     0.34     3.16
57086.097467   79.97     4.80     0.65     2.89
57087.100003   76.36     7.79     1.58     3.04
57088.606199   78.87     4.23     1.40     2.67
57089.439565   77.68     5.90     0.18     3.70
57094.733665   77.73     4.69     0.70     2.90
57096.204192   79.21     4.90     1.34     3.25
57106.552838   78.98     5.03     0.46     3.02
57107.484804   77.44     3.74     0.27     3.22
57112.652990   77.14     5.54     0.98     3.46
57116.454596   78.45     3.65     1.16     2.85
57117.008612   77.88     8.01     1.99     2.72
57119.373379   76.53     6.37     0.47     3.01
57124.004008   79.39     4.78     0.60     3.39
57124.672504   76.33     8.21     0.64     2.84
57130.109177   79.41     4.82     1.89     3.23
57138.789817   79.18     6.08     0.47     2.86
57148.606935   79.95     6.53     0.26     3.37
57150.777610   76.80     7.30     1.82     3.08
57159.599401   75.74     4.84     0.40     3.07
