    MJD       Ra_deg  Dec_deg  Unc_deg  log10(Ereco)
57540.508743   75.05     5.34     0.58     2.88
57543.915867   77.85     8.09     1.33     2.81
57544.521571   80.29     5.88     0.78     2.82
57546.198290   77.00     6.74     1.77     2.91
57546.852748   79.53     6.16     6.95     3.09
57549.659420   77.75     4.43     0.73     3.16
57555.898383   76.65     5.29     1.46     2.86
57558.393909   79.63     5.50     0.84     2.72
57566.003951   76.11     3.15     2.14     3.14
57566.399797   77.09     6.20     0.64     2.75
57566.467747   75.42     6.79     1.12     2.97
57566.879277   77.13     2.99     0.98     2.62
57568.034054   76.55     7.76     0.49     2.97
57570.047703   76.86     8.08     0.66     3.53
57570.398194   76.72     5.56     0.70     3.02
57570.595008   78.69     7.54     0.51     3.13
57572.178136   75.08     6.18     0.61     3.46
57573.910428   79.38     6.08     1.09     2.75
57576.336654   79.40     3.56     1.11     2.96
57576.387478   78.70     5.99     1.43     2.98
57576.500785   79.02     7.73     2.53     3.01
57577.613380   76.83     4.28     1.66     3.08
57582.366260   78.86     5.89     0.48     3.01
57584.205837   78.77     5.01     0.69     3.15
57584.211930   77.04     7.95     0.99     2.78
57585.919577   76.62     6.85     1.06     1.96
57586.895900   78.42     6.86     0.49     2.86
57587.590526   78.20     7.30     1.54     2.74
57590.860224   77.98     5.24     0.52     2.86
57591.108215   77.49     5.81     0.97     2.76
57591.403180   75.17     7.03     0.42     2.98
57594.246109   77.40     4.70     0.37     3.02
57595.585740   79.05     6.06     3.60     2.57
57598.040793   79.64     5.92     0.86     3.24
57598.825987   75.62     3.77     2.47     2.87
57599.468043   75.52     7.95     2.11     2.84
57599.903865   79.25     4.16     1.88     2.66
57600.334748   78.63     4.34     0.54     3.13
57600.417191   75.11     7.44     0.92     3.08
57603.666327   75.68     3.77     1.12     2.93
57604.686199   77.69     5.62     0.72     2.85
57606.364467   76.28     4.81     0.88     2.95
57606.762520   77.12     7.62     0.92     3.29
57607.021953   79.70     6.55     1.02     3.03
57609.376824   77.07     5.05     0.57     2.83
57610.736294   78.26     5.09     0.54     2.87
57615.205237   76.73     3.14     1.43     2.85
57616.949625   75.58     6.01     0.29     3.18
57619.027605   78.28     4.74     0.53     3.12
57619.730004   78.04     6.37     0.97     3.17
57619.847458   77.72     3.43     0.51     3.10
57622.482719   76.69     6.15     2.70     2.74
57628.077153   77.61     3.72     1.19     2.65
57629.875237   78.45     6.44     0.93     2.90
57630.243533   78.51     3.70     3.32     2.84
57633.092053   77.28     5.79     1.30     2.88
57635.642056   78.32     4.50     0.53     3.04
57639.127675   74.88     4.75     2.28     3.09
57639.718167   78.13     5.92     0.33     3.13
57640.385432   77.53     2.77     0.81     2.94
57643.741360   77.66     7.76     0.25     3.51
57644.761914   76.52     7.38     1.28     2.72
57650.945005   75.02     5.31     0.44     3.06
57651.251210   76.52     7.08     0.63     2.94
57651.746670   77.51     4.65     0.57     3.03
57653.268539   77.05     3.66     0.98     2.98
57654.956972   79.23     3.54     0.88     3.04
57656.721999   75.55     6.52     1.80     3.03
57658.620943   77.13     2.73     0.64     2.88
57659.231511   77.94     4.02     1.08     3.11
57661.848113   77.25     6.76     0.52     3.05
57666.332207   79.33     4.52     0.32     2.90
57666.778213   75.34     5.51     1.55     3.17
57667.051670   77.92     4.30     0.37     2.99
57668.294377   76.14     6.58     1.50     1.90
57671.136453   77.10     4.99     0.99     3.10
57671.745600   79.25     6.19     0.30     3.11
57673.313429   76.67     4.27     0.41     3.37
57673.711200   74.46     6.42     0.87     2.85
57675.968744   76.69     6.68     0.79     2.79
57677.437929   76.70     7.62     0.32     3.23
57678.609696   76.72     5.83     0.39     3.12
57680.951182   77.22     4.57     1.24     3.05
57681.963062   78.80     7.01     0.59     2.83
57683.910712   78.37     4.59     0.93     2.79
57684.063785   74.63     5.05     8.03     2.49
57684.674582   75.43     4.69     0.71     3.26
57687.278392   76.09     3.68     0.26     3.03
57692.054869   76.52     5.56     0.50     3.01
57692.247528   75.54     6.23     0.91     3.22
57692.991891   74.56     4.92     0.52     3.49
57696.341922   78.67     3.21     1.06     4.23
57697.645544   78.93     4.00     0.79     3.25
57698.657898   76.41     6.35     1.87     3.35
57702.415124   75.18     7.25     0.51     2.96
57702.702063   78.60     8.35     2.51     2.78
57706.449962   77.45     6.44     0.46     3.00
57706.984418   78.35     8.19     1.53     2.77
57707.394632   76.65     5.21     1.04     3.13
57708.096314   79.82     5.06     0.57     2.80
57708.420899   76.17     7.09     1.95     3.12
57710.346447   75.94     7.45     1.46     3.09
57711.424840   77.99     3.16     0.44     3.04
57712.070735   78.25     4.77     0.90     2.89
57714.018763   78.75     5.28     1.37     3.00
57714.082329   80.23     6.15     0.31     3.26
57715.052635   78.71     6.03     2.43     2.22
57715.589083   77.73     8.10     0.42     2.78
57716.589502   79.30     3.61     0.46     2.99
57717.520797   76.29     6.32     0.85     2.67
57718.262213   78.72     3.60     0.78     2.88
57718.678342   79.87     6.31     0.38     2.76
57720.251122   76.42     7.87     0.42     2.93
57726.752745   76.70     4.81     1.16     2.73
57727.285337   74.78     6.63     0.64     2.78
57727.296059   75.71     5.83     1.71     2.93
57728.609205   79.14     6.72     1.26     2.73
57730.670842   76.12     3.66     0.72     3.01
57732.892239   75.95     3.87     1.33     2.71
57733.690391   77.02     3.35     0.75     2.83
57734.265168   75.72     6.07     0.78     2.89
57734.425288   78.99     5.58     1.57     2.81
57734.438513   75.42     6.68     1.04     3.13
57734.753857   76.14     6.29     1.58     3.33
57735.278163   77.96     3.55     1.45     2.67
57735.317650   78.47     5.88     2.15     2.97
57735.368437   77.30     5.73     0.46     3.02
57735.369224   75.12     3.91     0.38     2.97
57735.477304   76.00     3.77     0.68     2.91
57735.703163   76.07     6.47     0.80     3.08
57737.596496   77.61     4.19     2.36     2.38
57738.204864   78.98     3.34     0.54     3.33
57739.573996   76.44     6.07     0.98     2.84
57740.124225   75.54     6.05     1.10     2.73
57740.724705   79.18     3.76     0.58     2.76
57741.525601   76.85     6.56     0.28     2.91
57743.035553   79.38     6.88     0.69     3.16
57743.317236   79.41     7.04     2.14     2.70
57745.000037   76.67     7.33     0.80     3.09
57746.502245   79.63     6.10     1.69     3.17
57747.268989   78.51     4.43     0.44     2.97
57750.979227   75.72     5.50     0.63     2.75
57752.591659   77.42     6.71     1.07     3.16
57753.324640   77.55     5.44     0.40     3.24
57757.246798   79.11     6.69     1.14     3.29
57758.110471   76.22     3.41     1.38     2.82
57758.872643   75.59     6.46     0.82     3.24
57759.436996   78.32     4.32     0.42     3.11
57759.775376   77.11     5.30     2.79     2.42
57762.827194   77.32     4.52     0.50     3.02
57763.176770   76.82     7.80     1.31     3.21
57765.841390   78.16     8.20     0.46     2.93
57766.313092   78.26     7.95     0.38     3.23
57768.557007   75.86     6.49     0.29     3.09
57769.450631   77.19     4.20     1.42     2.52
57769.535945   76.66     4.56     0.67     2.98
57769.544966   75.27     5.56     0.67     3.14
57770.313783   80.19     5.17     0.82     3.09
57771.919718   76.73     3.06     0.42     2.92
57771.983302   78.77     5.21     2.18     2.98
57774.993543   78.95     3.52     0.86     2.91
57777.550414   79.69     6.94     0.60     3.30
57777.605292   77.20     7.01     0.39     3.07
57780.223787   79.90     6.16     0.51     3.13
57780.321464   75.86     3.47     0.62     3.25
57784.375427   78.38     3.06     0.67     2.89
57786.882238   75.52     7.83     0.65     2.98
57787.711134   76.72     5.27     5.81     2.64
57789.801910   78.62     5.56     0.62     2.81
57791.586817   76.30     8.01     0.99     3.19
57791.659347   76.19     7.09     1.50     2.75
57792.263390   79.12     3.85     0.55     2.98
57792.947905   75.15     7.42     1.91     2.75
57794.102913   77.29     6.01     0.31     2.85
57795.074569   80.24     6.03     1.87     2.78
57795.084033   75.89     5.96     1.05     2.85
57795.202682   78.15     7.48     0.48     2.89
57799.476449   79.30     6.69     1.40     2.82
57803.571062   77.39     7.05     0.56     3.16
57805.126081   75.12     6.56     1.95     3.02
57805.994227   74.71     6.16     0.93     2.63
57806.850985   77.81     7.11     0.32     3.08
57811.116451   78.40     5.89     0.35     3.62
57811.492969   78.82     7.01     1.50     2.73
57811.720457   75.04     5.36     0.67     3.00
57811.783115   78.77     8.32     0.61     3.05
57816.870671   79.26     6.76     0.64     3.11
57819.002870   78.45     5.20     1.30     2.76
57819.399338   76.69     7.12     0.93     2.81
57820.475625   75.88     4.96     0.51     2.74
57822.325646   77.72     3.36     0.25     3.25
57823.909065   74.70     6.59     0.50     3.00
