sindec-0.5,,sindec0,,sindec0.5,
X,Y,X,Y,X,Y
83460.56837405745,0.000001385812362499925,1017.4986782376993,2.9993837224032347e-7,1015.9856002469346,1.2596963076975815e-7
101075.01737608442,0.0000013801529953787273,1017.1868380771559,2.508578390418867e-7,1021.2322949204643,6.924682714769584e-8
101030.09172853487,0.0000010650531958674112,1016.6086395265464,1.800837655699452e-7,1014.5649787426045,5.571996937396576e-8
100985.18604945885,8.218931624432771e-7,1016.2970721425891,1.5061568794940877e-7,1046.1382636618732,4.842253928687292e-8
100939.82795484782,6.325205439177356e-7,1015.700366252748,1.0694928834637897e-7,1198.4189869151762,4.8350537460634624e-8
100894.49023309391,4.867813199572635e-7,1009.0691663607564,8.605753240530888e-8,1372.8699008050758,4.8350537460634624e-8
100849.17287504613,3.74621908707765e-7,1027.9988631323038,4.1562357512651857e-7,1572.7152065473244,4.8350537460634624e-8
100805.05522296901,2.902782116226299e-7,1229.5039756923925,8.163619783693008e-8,1801.6515035071623,4.8350537460634624e-8
100759.7780351859,2.2339513296010057e-7,1408.4798551908557,8.163619783693008e-8,2063.913495956869,4.8350537460634624e-8
100715.6994899287,1.7309916524781555e-7,1803.2710394554422,8.163619783693008e-8,2364.3523236878736,4.8350537460634624e-8
116794.78152010213,1.5971415000735824e-7,2065.768783782698,8.163619783693008e-8,2708.525295018015,4.8350537460634624e-8
142322.23306099424,1.5993215684032565e-7,2366.4610694559915,8.130281272185959e-8,3102.4660518526366,4.542120288501022e-8
172360.31073614466,1.5971415000735824e-7,2710.96003562882,8.163619783693008e-8,3196.5810246005726,2.5328173622601836e-8
210032.0459267506,1.5971415000735824e-7,3105.5799145455,8.151480900813293e-8,3259.6893951409343,1.9652488043468268e-8
254361.9316188557,1.5993215684032565e-7,3201.431490631225,6.130259290065408e-8,3774.9118467313583,1.9019537382240163e-8
313812.5053169471,1.6086201061728922e-7,3200.4428361672426,5.120143006803912e-8,4324.416509713387,1.9019537382240163e-8
319557.1688249031,1.2804854621834615e-7,3198.5562526489166,3.630758649977532e-8,4953.911219324048,1.9019537382240163e-8
319413.6378292767,9.854484719295052e-8,3197.568486105505,3.032498729899061e-8,5675.039930548037,1.9019537382240163e-8
329770.91189860954,7.279829357081939e-8,3777.1383783008023,2.6821598654299204e-8,6501.141580350955,1.9019537382240163e-8
361178.6510408914,6.707755448179992e-8,4326.967152024847,2.6821598654299204e-8,7447.496822050839,1.9019537382240163e-8
432038.1408078233,6.707755448179992e-8,5608.664793308372,2.6821598654299204e-8,8531.6106762073,1.9019537382240163e-8
526467.2973141918,6.716911409135913e-8,6425.104377108121,2.6821598654299204e-8,9417.923886941768,1.9019537382240163e-8
637581.8099945321,6.707755448179992e-8,8226.035044816084,2.6821598654299204e-8,10075.588400249444,1.4637240799419013e-8
776934.152804069,6.707755448179992e-8,9423.47879940179,2.6821598654299204e-8,10385.861904680298,1.0582196245143661e-8
