MJD	log10(E)	ang_err	RA	Dec
   55695      4.8      0.5    185.8    -52.5
   55695      4.7      0.2    172.2    -47.0
   55695      5.0      0.6    312.0    -36.2
   55695      3.1      0.2    211.9    -30.4
   55695      3.3      0.2     24.3    -11.5
   55696      5.0      1.4    178.3    -55.1
   55696      4.9      1.0    352.2    -29.8
   55696      4.0      1.0    123.0    -17.0
   55696      5.7      1.1    262.4    -54.8
   55696      5.0      2.0    260.8    -29.0
   55696      4.9      2.5     12.1    -33.2
   55696      4.4      0.2     92.7    -39.9
   55696      4.6      0.3    180.0    -24.4
   55696      2.9      0.2    148.2    -12.2
   55696      4.2      0.2    145.6    -42.4
   55696      5.3      0.7    235.5    -73.2
   55696      4.3      0.3    197.7    -28.2
   55696      4.1      0.2    251.5    -18.8
   55696      5.0      1.4      5.7    -47.7
   55696      4.9      0.2    299.1    -54.5
   55696      4.0      0.2    160.4    -20.5
   55696      4.6      0.2    107.3    -36.2
   55696      2.9      0.5    233.5     -8.1
   55696      4.0      0.2    259.9    -18.5
   55696      5.0      2.9    327.9    -35.6
   55696      4.9      0.9    175.3    -25.3
   55696      3.7      0.7    114.0    -10.9
   55696      4.1      0.7     93.3    -17.9
   55696      3.9      0.2    248.6    -68.9
   55696      4.6      0.5    357.1    -32.2
   55696      5.1      0.2    279.5    -60.1
   55696      5.2      0.3    332.4    -67.3
   55696      4.1      0.3     61.9    -30.2
   55696      4.6      0.6    250.6    -69.6
   55696      5.9      1.6     96.4    -48.8
   55696      4.7      0.2    197.1    -68.9
   55696      5.0      1.4      7.5    -50.5
   55696      3.4      0.7     47.7    -10.2
   55696      5.0      2.3     77.9    -47.1
   55696      5.1      0.2    341.2    -47.8
   55696      3.5      1.3     21.7    -43.2
   55696      3.0      0.4    227.2     -9.0
   55696      4.9      4.6     31.1    -35.9
   55696      4.5      0.4    222.2    -80.2
   55696      4.5      0.3    257.5    -57.5
   55696      4.8      0.2    324.2    -21.5
   55696      4.4      0.2    135.9    -41.1
   55696      4.0      1.5    336.6    -14.8
   55696      5.4      0.7    282.3    -53.6
   55696      3.5      0.2    335.0    -18.6
   55696      3.1      0.4     64.1     -9.5
   55696      3.4      0.3    300.4    -12.0
   55696      5.3      1.8    244.4    -32.9
   55696      3.2      0.5    224.4     -7.5
   55696      5.8      0.5     84.0    -35.5
   55696      3.6      0.3    125.7    -22.5
